id;nom;description;date_debut;date_fin;regles;bonus
1;firewall alliance;transmitting;2025-03-18T13:38:51;2025-03-18T22:45:44;Island;platforms
2;Taiwan Cambridgeshire;Mobility Centralized Home Loan Account;2025-03-18T22:15:24;2025-03-19T10:04:35;Kyat Avon;Iran Streamlined
3;black;systems;2025-03-18T20:17:29;2025-03-19T00:40:16;Thailand;Keyboard pink
4;Intelligent;Chair Refined;2025-03-18T23:11:48;2025-03-19T02:07:04;Home Loan Account Manager Towels;Prairie
5;Product;Maryland Data artificial intelligence;2025-03-19T00:31:38;2025-03-18T16:43:29;reboot Frozen encoding;Fresh Highway
6;Investment Account neural;Response;2025-03-19T07:05:51;2025-03-18T12:17:38;Sports niches;lavender Avon reintermediate
7;transform;Rhode Island New Hampshire;2025-03-19T01:42:25;2025-03-18T18:02:35;Books client-driven virtual;extensible
8;Extensions Handmade Concrete Car;hack Multi-layered gold;2025-03-18T21:05:06;2025-03-19T00:09:25;Planner Metal online;Incredible Frozen Tuna Ecuador
9;parsing;Response task-force;2025-03-18T16:51:41;2025-03-18T19:10:05;Shoes;Analyst
10;Incredible Fresh Keyboard Home Loan Account;bricks-and-clicks Unbranded Frozen Sausages;2025-03-19T01:18:18;2025-03-18T17:15:09;Incredible Factors;cyan Fish
