id;nom;adresse;ville;code_postal;telephone;latitude;longitude
1;modular;Tools override payment;Enhanced azure;Analyst;015-572-6565;71056;33960
2;Personal Loan Account Games Cambridgeshire;maximized Assistant UIC-Franc;invoice Ball;South Dakota Bahraini Dinar SDD;(755) 603-5457 x5540;6038;31831
3;Run matrix;Investment Account Enterprise-wide;Baby;back up index Generic;1-167-841-4033 x94272;58811;82660
4;even-keeled fault-tolerant;contingency contextually-based;copy SCSI;compressing Intranet Kansas;1-121-564-3254 x471;31034;26730
5;RAM;Investment Account orange;Security even-keeled;infomediaries Cambridgeshire Practical;(381) 348-7339 x4266;60685;25176
6;Personal Loan Account;morph GB Practical Rubber Hat;Frozen;architect Ball;1-487-877-2467 x13057;67353;37680
7;Dynamic firewall Handcrafted Fresh Towels;transmitter withdrawal;Auto Loan Account;Orchestrator United States Minor Outlying Islands;(006) 855-7397;29497;83789
8;Assistant;functionalities National Specialist;Ferry;Savings Account Auto Loan Account empower;106-379-2447 x41416;87918;72826
9;Kids withdrawal;integrate global dot-com;transmit quantifying;Jewelery Central Nepal;1-454-455-9834;61225;88848
10;Borders;withdrawal;Accountability Liberian Dollar Bedfordshire;District Sports;657-093-6079;41272;44554
